scenario_label,name_0,name_1,vignette,effort_low,effort_high,action_1,action_2
basketball,Carissa,Josh,"Carissa and Josh are attending a basketball game together. During halftime, they go to the hot-dog stand in the arena. They are both very hungry. When they get to the stand, they realize that it's cash only, and that between them they only have enough cash to get one hot dog.",Right next to the hot-dog stand is a condiment station with a stack of clean plastic knives set out for customers to use.,"There are no knives at the hot-dog stand or the nearby condiment area — the nearest knives are at a sit-down restaurant on the far side of the arena, which would take several minutes to walk to and back.","They order a hot dog, cut it in half with a knife, and each eats from their own portion.",They order a hot dog and take bites from the same end of the hot dog until it is finished.
birthday,Lio,Mitchell,"Lio and Mitchell are at a birthday party. The cake served is a dark chocolate cake with a raspberry sauce, which they both really like. After everyone sings happy birthday, the birthday person cuts the cake into slices and puts the slices on plates with forks. The slices are really large, and Lio and Mitchell both don't think they can finish a full slice on their own.",Extra forks and empty plates have been laid out on the cake table for anyone who wants to share a slice.,"All the extra forks and plates have already been cleared back to the kitchen, and the host is busy with other guests.","They decide to share one slice. They get an extra fork and plate, cut the slice in half, put each half on its own plate, and each eat their own half.","They decide to share one slice, and share the single fork provided to eat the slice together from the same plate."
brunch,Allison,Dana,"Allison and Dana meet at a brunch restaurant together on Saturday morning. They each select their own dishes and then discuss what else to order. One intriguing choice is to also order a stack of the restaurant's famous pancakes to share, to eat for dessert after they eat their main dishes. After eating their main dishes, they are both still hungry and really want to order the pancakes.",Their server has been attentive all morning and comes by the table quickly whenever they need something.,The restaurant is slammed and their server has been hard to flag down all morning — every small request has taken a long time.,"They order the pancakes, ask for an extra fork and knife, and when the utensils come they cut portions of the stack onto their own plates and eat from their own plates.","They order the pancakes and eat directly from the shared stack, each using their own fork to repeatedly go back and forth between the stack and their mouths."
takeout,Emily,Elizabeth,"Emily and Elizabeth are at a conference for work. After a long day of events, they get back to the conference hotel. It is late and all the nearby places are closed, so they decide to order chicken tenders delivered to the hotel. Both of them prefer honey mustard sauce to ketchup, and when they open the bag they see that the restaurant has only included one container of honey mustard (plus several ketchup packets).",The takeout came in a sturdy cardboard box whose flat lid can easily hold a pool of sauce.,"The takeout came in a flimsy styrofoam clamshell whose lid is curved and won't hold liquid, and there's no other clean flat surface in the hotel room to pour sauce onto.","They pour half of the honey mustard out onto a flat surface so that each person has their own dipping portion, and each dips only into their own portion.","They both dip their own chicken tenders into the single honey mustard container, double-dipping the same tenders back into the sauce after each bite."
cooking,Liana,Serina,"Liana and Serina are both major foodies who love cooking. They discover a new pasta recipe they're both excited to try, so they go to Serina's house in the evening to cook it together. They plan to enjoy their dinner while watching an episode of a TV show in the living room. By the time the pasta is done, it looks so good that they both want to dig in immediately.","There are clean plates and a clean serving spoon sitting on the counter, ready to use.","But all the clean plates are trapped mid-cycle in the dishwasher, and every serving utensil in the drawer is dirty in the sink from cooking — washing any of them by hand would take a while.","They use a serving spoon to transfer pasta from the pot onto their individual plates, and carry their plates to the living room to eat from their own plates with their own forks.","They bring the pot to the living room and eat the pasta directly from the pot, each using their own fork to go back and forth between their mouths and the shared pot."
apples,Camille,Haoyu,"Camille and Haoyu go apple picking together in the fall. At the orchard, there are many different apple varieties, including Red Delicious, Yellow Delicious, Honeycrisp, and Jonagold. At the entrance, the employees tell them that visitors are welcome to taste the apples. When they enter the orchard, the apple variety in the first aisle is the Jonagold variety. Camille picks an apple from a tree to taste. Haoyu has not tasted the Jonagold variety at this orchard before and really wants to taste it.",The Jonagold aisle is dense with ripe apples at eye level — Haoyu could easily reach up and pick her own separate apple from the same tree.,"This particular tree has only the one apple Camille picked within reach; all the other Jonagolds are on trees at the far end of the orchard, a long walk away.","Haoyu picks a separate Jonagold apple for herself, and each of them eats their own apple.","Camille takes a bite out of the apple and then passes it to Haoyu, who takes a bite out of the same side of the apple. They alternate taking bites out of the same side of the apple."
dip,Declan,Eric,Declan and Eric are preparing snacks for a house party. They get two kinds of chips — tortilla chips and pita chips — and prepare two kinds of dips: a buffalo chicken dip and a spinach and artichoke dip. They both want to try the chips with the different kinds of dips before serving them to their guests.,"There is a stack of clean small appetizer plates already unpacked and sitting on the snack table, ready to use.","The appetizer plates are still packed away in a box of party supplies that hasn't been unboxed yet, buried in the garage under other party boxes — digging them out would take a while.","They each put different kinds of chips and some of each dip on their own plate, and try the dips with the chips without double-dipping.","They try the chips with the dips straight from the dip bowls, biting the chips and then dipping the bitten ends back into the dip — double-dipping the same chips repeatedly."
drinks,Noah,Ria,"Noah and Ria are at a party. Noah is holding a drink that he tells Ria is a special cocktail that he invented, that he made himself at the bar. (It's tequila mixed with ice cream.) He tells Ria how good it is and suggests she try it. The drink sounds good to Ria, and she really wants to try it.",There is a stack of clean empty cups right at the bar within arm's reach.,"The bartender has stepped away to the back, and the clean cups are on a shelf behind the bar that's inaccessible without flagging someone down — which would take a long time given how packed the party is.",Ria gets another cup and Noah pours some of his drink into that cup. They each sip from their own cups.,Ria takes Noah's cup and sips from the exact same spot where he drank.
driving,Danielle,Sonia,"Danielle and Sonia are driving together from San Francisco to Sacramento. They leave at 6am. Right when they leave, they stop at a gas station to get an iced coffee. The coffee machine is out of order partway through pouring, so only one cup gets filled. Both of them are extremely tired and need the coffee to be able to stay awake.",Next to the coffee machine at this gas station is a stack of clean empty cups that customers are welcome to use.,"This gas station is out of extra cups, and the next gas station on the route is many miles ahead — getting a second cup would mean a long drive before they can drink any of the coffee.","They get another cup, pour half of the coffee into the other cup, and each drink from their own cup.",They share the same cup by sipping through the same straw.
fair,Marianne,Lisa,"Marianne and Lisa are at the county fair. They've spent a day walking around. Around the time the fair is closing, the food trucks are giving out their leftover food. They both go to a food truck that sells fresh corn on the cob, and the food truck gives them a large skewer of corn. The corn looks especially appealing to both of them.","The food trucks are still operating and there's a cutlery station nearby with knives, plates, and napkins for guests to use.","The fair has essentially shut down — every food truck has packed up their cutlery stations, and there are no knives or extra plates left out anywhere on the fairgrounds.","They find cutlery and a plate, and use the knife to cut half of the corn off the cob; Marianne eats the corn from the plate, and Lisa eats the rest directly off the cob.",They switch off taking bites directly from the same part of the cob.
