scenario_label,observed_action,desire_condition,effort_condition,alt_idx,action_text,is_share,risk_raw,risk_raw_std,risk,effort_raw,effort_raw_std,effort,g_raw,g_raw_std,g,n_runs_risk,n_runs_effort,n_runs_g,n_failures_risk,n_failures_effort,n_failures_g
basketball,no_share,low,high,0,Carissa buys the hot dog,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,10,10,10,0,0,0
basketball,no_share,low,high,1,Josh buys the hot dog,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,10,10,10,0,0,0
basketball,no_share,low,high,2,They buy one hot dog and split it,1,2.4,0.9165151389911679,0.39999999999999997,0.0,0.0,0.0,6.0,0.0,1.0,10,10,10,0,0,0
basketball,no_share,high,high,0,Carissa buys the hot dog,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,10,10,10,0,0,0
basketball,no_share,high,high,1,Josh buys the hot dog,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,10,10,10,0,0,0
basketball,no_share,high,high,2,They buy one hot dog and split it,1,2.4,0.9165151389911679,0.39999999999999997,0.0,0.0,0.0,6.0,0.0,1.0,10,10,10,0,0,0
basketball,no_share,high,high,3,One of them goes to the sit-down restaurant to get a knife to split the hot dog,1,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,10,10,10,0,0,0
basketball,low_risk_share,high,high,0,One person eats the whole hot dog,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,10,10,10,0,0,0
basketball,low_risk_share,high,high,1,They decide not to get a hot dog,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
basketball,low_risk_share,high,high,2,They take turns eating the hot dog in its entirety,1,6.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,10,10,10,0,0,0
basketball,low_risk_share,high,high,3,They try to tear the hot dog in half,1,2.4,0.9165151389911679,0.39999999999999997,1.0,0.0,0.16666666666666666,4.2,1.469693845669907,0.7,10,10,10,0,0,0
basketball,low_risk_share,high,low,0,One person buys and eats the hot dog while the other goes without,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,10,10,10,0,0,0
basketball,low_risk_share,high,low,1,They look for another food vendor that accepts card payments,0,0.0,0.0,0.0,2.7,0.45825756949558405,0.45,0.0,0.0,0.0,10,10,10,0,0,0
