scenario_label,observed_action,motivation,alt_idx,action_text,is_share
basketball,action_0,low,0,Carissa buys the hot dog and eats it alone,0
basketball,action_0,low,1,Josh buys the hot dog and eats it alone,0
basketball,action_0,low,2,They flip a coin to decide who gets the hot dog,0
basketball,action_0,low,3,They take turns eating the hot dog,1
basketball,action_0,low,4,They cut the hot dog in half and share it,1
basketball,action_0,low,5,"Carissa lends Josh money, and he buys the hot dog for both",1
basketball,action_0,low,6,"Josh lends Carissa money, and she buys the hot dog for both",1
basketball,action_0,low,7,They decide to go to an ATM to withdraw cash to buy two hot dogs,1
basketball,action_0,low,8,One person goes to find a cashier who can accept card payment while the other waits,1
basketball,action_0,high,0,Carissa buys the hot dog and eats it alone,0
basketball,action_0,high,1,Josh buys the hot dog and eats it alone,0
basketball,action_0,high,2,They buy the hot dog together and cut it in half to share,1
basketball,action_0,high,3,"Carissa buys the hot dog, then breaks it in half and gives one half to Josh",1
basketball,action_0,high,4,"Josh buys the hot dog, then breaks it in half and gives one half to Carissa",1
basketball,action_0,high,5,"They take turns eating the hot dog, one bite at a time",1
basketball,action_0,high,6,Carissa and Josh decide to look for an ATM to withdraw more cash so they can both buy hot dogs,0
basketball,action_0,high,7,One of them goes to find an ATM or other way to get more cash while the other waits at the stand,0
basketball,action_1,low,0,One person buys the hot dog and eats it alone,0
basketball,action_1,low,1,They decide not to buy a hot dog and go back to their seats,0
basketball,action_1,low,2,They take turns eating the hot dog in its entirety,1
basketball,action_1,low,3,One person buys the hot dog and cuts it into smaller pieces to feed to the other,1
basketball,action_1,low,4,They look for a different food stand that accepts card payment,0
basketball,action_1,low,5,One person goes to an ATM to withdraw cash to buy two hot dogs,0
basketball,action_1,low,6,They ask someone else if they can buy a hot dog for them or if they have change,0
basketball,action_1,low,7,They buy the hot dog and use their fingers to tear it in half,1
basketball,action_1,high,0,Carissa buys the hot dog and eats it alone,0
basketball,action_1,high,1,Josh buys the hot dog and eats it alone,0
basketball,action_1,high,2,They decide not to buy a hot dog and go without eating,0
basketball,action_1,high,3,"They take turns eating the hot dog in its entirety, with one person eating first and then the other finishing it",1
basketball,action_1,high,4,Carissa buys the hot dog and tears it in half with her hands to share with Josh,1
basketball,action_1,high,5,"They ask the vendor if they can buy a hot dog and split the cost later, perhaps using a mobile payment method",1
basketball,action_1,high,6,"One person goes to find an ATM or another way to get more cash while the other waits, then they buy two hot dogs",0
basketball,action_1,high,7,"They buy one hot dog and eat it together, taking bites from the same hot dog without cutting it",1
basketball,action_1,high,8,Carissa or Josh goes to a different vendors to see if they have any free samples or cheaper options they can share,1
basketball,action_2,low,0,Carissa buys the hot dog and eats it alone,0
basketball,action_2,low,1,Josh buys the hot dog and eats it alone,0
basketball,action_2,low,2,They decide not to buy a hot dog and go back to their seats,0
basketball,action_2,low,3,They cut the hot dog in half and each eat their own portion,1
basketball,action_2,low,4,"Carissa buys the hot dog, cuts it in half, and gives half to Josh",1
basketball,action_2,low,5,"Josh buys the hot dog, cuts it in half, and gives half to Carissa",1
basketball,action_2,low,6,"They take turns eating the hot dog, but use a utensil or napkin to avoid direct contact",1
basketball,action_2,high,0,Carissa buys the hot dog and eats it alone,0
basketball,action_2,high,1,Josh buys the hot dog and eats it alone,0
basketball,action_2,high,2,They decide not to buy a hot dog and go without food,0
basketball,action_2,high,3,"Carissa and Josh take turns eating the hot dog, but use a barrier like a napkin to separate their bites",1
basketball,action_2,high,4,They cut the hot dog in half and each eat their own portion,1
basketball,action_2,high,5,Carissa eats half the hot dog and then gives the remaining half to Josh,1
basketball,action_2,high,6,Josh eats half the hot dog and then gives the remaining half to Carissa,1
basketball,action_2,high,7,They look for an ATM to withdraw more cash so they can each buy a hot dog,0
basketball,action_2,high,8,Carissa and Josh flip a coin to see who gets to buy and eat the hot dog,0
basketball,action_3,low,0,Carissa buys the hot dog and eats it alone,0
basketball,action_3,low,1,Josh buys the hot dog and eats it alone,0
basketball,action_3,low,2,They decide not to buy a hot dog and go back to their seats,0
basketball,action_3,low,3,They cut the hot dog in half and each eat their own portion,1
basketball,action_3,low,4,"They take turns eating the hot dog, with one person holding it while the other takes a bite",1
basketball,action_3,low,5,"Carissa buys the hot dog and offers Josh a small bite, but they don't share equally",1
basketball,action_3,low,6,"Josh buys the hot dog and offers Carissa a small bite, but they don't share equally",1
basketball,action_3,low,7,They try to find an ATM or another way to get more cash so they can each buy a hot dog,0
basketball,action_3,high,0,Carissa buys the hot dog and eats it alone,0
basketball,action_3,high,1,Josh buys the hot dog and eats it alone,0
basketball,action_3,high,2,They decide not to buy a hot dog and go without eating,0
basketball,action_3,high,3,"Carissa and Josh take turns eating the hot dog, cutting it in half to avoid direct contact",1
basketball,action_3,high,4,"They cut the hot dog into smaller pieces and share it, but use utensils to avoid touching",1
basketball,action_3,high,5,"One person buys the hot dog and gives the other person a few bites, but not alternating",1
basketball,action_3,high,6,They look for another food vendor that accepts card payments,0
basketball,action_3,high,7,Carissa or Josh goes to an ATM to withdraw cash so they can both buy hot dogs,0
birthday,action_0,low,0,Lio and Mitchell split one slice of cake between them,1
birthday,action_0,low,1,"Lio eats a small portion of Mitchell's slice, then Mitchell finishes the rest",1
birthday,action_0,low,2,"Mitchell eats his slice and Lio eats none, but they discuss the taste and texture of the cake",0
birthday,action_0,low,3,"Lio and Mitchell both take a small bite of a slice, then put it back for someone else to eat",1
birthday,action_0,low,4,"Lio gives his slice to Mitchell, who eats the whole thing",0
birthday,action_0,low,5,Mitchell and Lio decide not to eat any cake and leave the slices on the table,0
birthday,action_0,low,6,Lio and Mitchell ask the birthday person if they can cut the slices into smaller pieces to share with everyone,1
birthday,action_0,low,7,"Lio eats a slice and Mitchell does not, but Lio tells Mitchell all about the cake",0
birthday,action_0,high,0,"Lio and Mitchell share a slice, eating it together",1
birthday,action_0,high,1,"Lio eats a slice alone, Mitchell doesn't have any",0
birthday,action_0,high,2,"Mitchell eats a slice alone, Lio doesn't have any",0
birthday,action_0,high,3,Neither Lio nor Mitchell eat any cake,0
